;Ano;Turno;Localidade;Cargo;Nº;Candidato;Nome Urna;Partido / Coligação;Votação;Situação
;2016;1º Turno;ALAGOA GRANDE;Vereador;70111;DANIELA KARLA DA;DANIELA;PT do B / MUDANÇA E TRABALHO;7;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;22444;PAULA FRASSINETTI;PAULA;PR / ALAGOA GRANDE UNIDA II;7;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;31222;GILVAN DUTRA DO;GILVAN DUTRA;PHS / ALAGOA GRANDE UNIDA II;5;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;77888;ANA CRISTINA BARBOSA DA;CRISTINA;SD / PSB/PSL/PPS/PP/PEN/PMB/SD;5;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;55999;KENIA MERICA SOBRAL SANTOS;KÊNIA;PSD / MUDANÇA E TRABALHO;4;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;14888;MARIA CRISTINA ISIDRO DA;CRISTINA;PTB / MUDANÇA E TRABALHO;1;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;14456;ELISANDRA DE VASCONCELOS;SANDRA;PTB / MUDANÇA E TRABALHO;1;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;55000;ANA PAULA DE MELO LIMA;ANA PAULA;PSD / MUDANÇA E TRABALHO;1;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;13444;LUCIANA PONTES DE LIMA;LUCIANA;PT / ALAGOA GRANDE UNIDA II;0;Suplente
;2016;1º Turno;ALAGOA NOVA;Prefeito;45;JOSÉ UCHÔA DE AQUINO LEITE;AQUINO;PSDB / Alagoa Nova de Verdade;6174;Eleito
;2016;1º Turno;ALAGOA NOVA;Prefeito;40;WALFREDO LEAL COSTA JUNIOR;JUNIOR DE;PSB / TRABALHANDO PARA O BEM DE ALAGOA NOVA;5766;Não eleito

;2016;1º Turno;ALAGOA NOVA;Vereador;14000;RAMILTON CAMILO DINIZ;RAMILTON;PTB / Alagoa Nova de Verdade 1;716;Eleito por QP
;2016;1º Turno;ALAGOA NOVA;Vereador;15222;ICARO TEIXEIRA ROCHA;ICARO TEIXEIRA;PMDB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 1;643;Eleito por QP

;2016;1º Turno;ALAGOA NOVA;Vereador;15789;MOACI PIMENTEL DE SOUZA;MOACI PIMENTEL;PMDB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 1;547;Eleito por QP

