;Ano;Turno;Localidade;Cargo;Nº;Candidato;Nome Urna;Partido / Coligação;Votação;Situação
;2016;1º Turno;ARARUNA;Vereador;15155;ANTONIO BERNARDO DE SOUSA;BORÓ;PMDB / CONFIANÇA DO POVO;624;Eleito por QP
;2016;1º Turno;ARARUNA;Vereador;40404;ADAILSON BERNARDO DOS SANTOS;ADAILSON BERNARDO;PSB / UNIDOS POR ARARUNA / UNIDOS POR ARARUNA I;612;Eleito por QP
;2016;1º Turno;ARARUNA;Vereador;11111;MARIA DE LOURDES SOLANO DE MACÊDO;LURDINHA ODON;PP / UNIDOS POR ARARUNA / UNIDOS POR ARARUNA I;538;Eleito por QP
;2016;1º Turno;ARARUNA;Vereador;11567;LUIS DA SILVA MARTINIANO;LUIS MARTINIANO;PP / UNIDOS POR ARARUNA / UNIDOS POR ARARUNA I;509;Eleito por QP
;2016;1º Turno;ARARUNA;Vereador;15111;CARLOS ANTÔNIO DE SOUZA TEIXEIRA;TOINHO NATANAEL;PMDB / CONFIANÇA DO POVO;459;Eleito por QP
;2016;1º Turno;ARARUNA;Vereador;11456;ANTÔNIO OLINTO DA COSTA;ANTÔNIO BIDU;PP / UNIDOS POR ARARUNA / UNIDOS POR ARARUNA I;424;Eleito por média
;2016;1º Turno;ARARUNA;Vereador;15678;ANTÔNIO JEFFERSON TARGINO DE SOUSA;JEFFERSON TARGINO;PMDB / CONFIANÇA DO POVO;395;Eleito por QP
;2016;1º Turno;AREIA;Prefeito;45;JOÃO FRANCISCO BATISTA DE ALBUQUERQUE;JOÃO FRANCISCO;PSDB / POR UMA AREIA MELHOR DE SE VIVER;8.873;Eleito
;2016;1º Turno;AREIA;Vereador;20222;NELMA CARNEIRO CAVALCANTE;NELMA CARNEIRO;PSC / AVANÇA AREIA;719;Eleito por QP
;2016;1º Turno;AREIA;Vereador;36333;FRANCISCO DOS SANTOS JÚNIOR;JUNIOR DA XEROX;PTC / AREIA:MUDANÇA PARA O PROGRESSO;617;Eleito por QP
;2016;1º Turno;AREIA;Vereador;31456;LUIZ FRANCISCO DOS SANTOS NETO;NETO DA CERAL;PHS / AREIA:MUDANÇA PARA O PROGRESSO;558;Eleito por QP
;2016;1º Turno;AREIA;Vereador;55333;EDVALDO BATISTA DE SOUZA;EDVALDO VIGILANTE;PSD / AVANÇA AREIA;521;Eleito por QP
;2016;1º Turno;AREIA;Vereador;40000;ANA PAULA GOMES PEREIRA GONZAGA;ANA PAULA;PSB / UNIDOS PELO TRABALHO I;520;Eleito por QP
;2016;1º Turno;AREIA;Vereador;55678;IVANO CASSIMIRO DOS SANTOS;DINHA DE CÍCERO CASSIMIRO;PSD / AVANÇA AREIA;516;Eleito por média
